,Method,Submitted By,Checkpoint,data_set,Num_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
0,KL,john,125,forget10,10,gemma-2b,0.0,,0.4261441453504225,0.0,,0.4443938941559212,0.0122697090471771,0.0,0.4605475363818671,0.0092945157140833,0.0,0.1187159576566989,,5.833570101401265e-09
1,KL,john,250,forget10,10,gemma-2b,0.0,,0.4313047765447376,0.0,,0.4333060456117785,0.0087392762825108,0.0,0.4631047536012362,0.0062885285888506,0.0,0.1189865321765329,,7.642474624394928e-09
2,KL,john,225,forget10,10,gemma-2b,0.0,,0.4366018915382116,0.0,,0.4449880341491747,0.0109873034918692,0.0,0.4614709785855986,0.0080677679843759,0.0,0.1173960220228665,,4.442780266976635e-09
3,KL,john,75,forget10,10,gemma-2b,0.0,,0.4396462330272891,0.0,,0.4469081980836935,0.0132943595460211,0.0,0.4620698027526035,0.0106337007687518,0.0,0.1214861037062767,,1.6955418119564408e-08
4,KL,john,150,forget10,10,gemma-2b,0.0,,0.429070139347034,0.0,,0.4421794345130836,0.0111198541303207,0.0,0.4595488928061252,0.0073569217033898,0.0,0.1151677239819443,,5.833570101401265e-09
5,KL,john,175,forget10,10,gemma-2b,0.0,,0.4329557561633914,0.0,,0.4324301232012609,0.0104314630510694,0.0,0.4626732238634383,0.0085374079934896,0.0,0.115975610226627,,9.989855643801949e-09
6,KL,john,50,forget10,10,gemma-2b,0.0,,0.5444372200206002,0.0,,0.6166372340986712,0.0,0.0,0.438270649465403,0.0,0.0,0.1626945315541581,,4.7571992497933944e-08
7,KL,john,200,forget10,10,gemma-2b,0.0,,0.4289537241625714,0.0,,0.4406616088987286,0.0098759783300868,0.0,0.4625174396994669,0.008920398462687,0.0,0.1189067795590347,,7.642474624394928e-09
8,KL,john,25,forget10,10,gemma-2b,0.6993333333333334,0.4563909424432228,0.5680003835317812,0.7592592592592593,0.5051898117019106,0.6356666121382807,0.6058867085918946,0.7350744106632444,0.5200198865319648,0.5607649191271844,0.6738116639326847,0.4825146592376179,0.5926838423682713,0.0005130473260333
9,KL,john,100,forget10,10,gemma-2b,0.0,,0.4303521721087856,0.0071225071225071,,0.4430337506839564,0.0307765177209749,0.0,0.4559422042379657,0.0338592283749079,0.0,0.1126109163057619,,3.3758995667783493e-09
